Block_ID,Resistance_Ohm,n_rows,mean_voltage_V,mean_current_A,mean_power_W,std_power_W,mean_light_lux,mean_panel_temp_C
1,200,6,20.4105,0.0981,2.001875,0.008542175,99409.91666666667,57.214999999999996
2,150,7,20.32342857142857,0.11409285714285715,2.318214285714286,0.012223124064851933,99954.11428571427,57.90642857142857
3,100,7,19.977857142857143,0.16918571428571427,3.3794642857142856,0.018040133829088673,99848.77142857143,59.299285714285716
4,50,7,17.873285714285718,0.28705714285714284,5.130892857142858,0.12714147772124906,74149.3,59.535714285714285
5,40,13,17.22453846153846,0.35318846153846156,6.100769230769229,0.673604951,81157.51538461538,59.37653846153846
6,35,7,17.790285714285716,0.41602857142857147,7.401071428571429,0.130859396,98321.57142857143,59.598571428571425
7,30,8,16.571375,0.443575,7.3559375,0.4248559367177134,91100.17499999999,60.01375
8,25,8,15.645,0.48195625,7.54015625,0.1079112513579693,92574.7125,60.371875
9,20,9,13.174,0.49572777777777777,6.53,0.13264290642548518,89784.29999999999,60.68333333333333
